category,subcategory,club
Civic & Community Organizations,Ambigous & Other Civic & Community Organizations,43900
Social & Political Action Organizations,"Political Parties, Chapters, and Campaigns",44100
Social & Political Action Organizations,Social Justice & Advocacy Organizations,44200
Social & Political Action Organizations,Environmental & Conservationist Organizations,44300
Social & Political Action Organizations,Ambiguous & Other Political Organizations,44900
Intellectual & Disciplinary Associations,Academic Interest Clubs,45100
Intellectual & Disciplinary Associations,"Study, Edification, & Working Groups",45200
Intellectual & Disciplinary Associations,Ambiguous & Other Intellectual & Disciplinary Associations,45900
Hobby & Personal Interest Associations,Recreational Clubs,46100
Hobby & Personal Interest Associations,Artistic Cooperatives & Arts Appreciation Organizations,46200
Hobby & Personal Interest Associations,Interest-based & Unspecified Hobby Clubs,46300
Hobby & Personal Interest Associations,Ambiguous & Other Hobby & Personal Interest Associations,46900
Other Social Clubs & Special Interest Groups,Unspecified Club Membership,49100
Other Social Clubs & Special Interest Groups,Ambiguous & Other Residence Hall Associations,49200
Other Social Clubs & Special Interest Groups,Not Otherwise Specified Social Clubs & Special Interest Groups,49999
Religious & Spiritual Activities,Religious Services Attendance,51100
Religious & Spiritual Activities,Spiritual Practices,51200
Religious & Spiritual Activities,Ambiguous & Other Religious & Spiritual Activities,51900
Culture & Identity Awareness Activities,Cultural Awareness & Heritage Celebration,52100
Culture & Identity Awareness Activities,Identity Pride & Solidarity Activities,52200
Culture & Identity Awareness Activities,Ambiguous & Other Culture & Identity Awareness Activities,52900
Civic Engagement & Community Service,Civic Engagement Activities,53100
Civic Engagement & Community Service,Community Service,53200
Civic Engagement & Community Service,Fundraising & Philanthropic Activities,53300
Civic Engagement & Community Service,Ambiguous & Other Community Service & Philanthropy,53900
Social & Political Activism,Public Demonstration Participation,54100
Social & Political Activism,Generalized Activism & Advocacy,54200
Social & Political Activism,Ambiguous & Other Social & Political Action,54900
Other Generalized Community Involvement,Mixed & Unspecified Festivities,59100
Other Generalized Community Involvement,Ambiguous Service,59200
Other Generalized Community Involvement,Not Otherwise Specified Generalized Community Involvement,59999
Regular Employment,On-campus Employment,61100
Regular Employment,Off-campus Employment,61200
Regular Employment,Ambiguous & Other Employment,61900
Experiential Training,Internships & Externships,62100
Experiential Training,"Workshops, Boot Camps, & Training Seminars",62200
Experiential Training,Ambiguous & Other Experiential Training,62900
Professional Networking,Professional Associations,63100
Professional Networking,Professional Networking Events,63200
Professional Networking,Ambiguous & Other Professional Networking,63900
Other Occupational Activities,Domestic Labor,69100
Other Occupational Activities,Investment Activities,69200
Other Occupational Activities,Work with Unclear Compensation,69300
Other Occupational Activities,Not Otherwise Specified Occupational Activities,69999
Otherwise Unclassifiable,Illegible Responses,91100
Otherwise Unclassifiable,Cryptic & Unrecognizable Responses,91200
Otherwise Unclassifiable,Cross-categorically Ambiguous Responses,91300
Otherwise Unclassifiable,Not Otherwise Specified Uninterpretable Responses,91999
